date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:08	37301/37301	---MCZ	200	added ('OK')	text/html	etag:W/%22580873f4-91b5%22	http://laread.evmet.net/html/live-preview/large-image-v1-1.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/large-image-v1-1.html	(from )
11:23:08	532/532	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2031%20Aug%202020%2005:53:04%20GMT	http://laread.evmet.net/robots.txt		(from )
11:23:09	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2258087882-47e%22	http://laread.evmet.net/html/live-preview/assets/img/favicon.ico	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/favicon.ico	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:10	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%2258087406-1d970%22	http://laread.evmet.net/html/live-preview/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/css/bootstrap.min.css	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:10	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%225808740d-7187%22	http://laread.evmet.net/html/live-preview/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/css/font-awesome.min.css	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:11	14003/14003	---MCZ	200	added ('OK')	text/css	etag:W/%225808740d-36b3%22	http://laread.evmet.net/html/live-preview/assets/css/jasny-bootstrap.min.css	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/css/jasny-bootstrap.min.css	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:11	49818/49818	---MCZ	200	added ('OK')	text/css	etag:W/%2258087402-c29a%22	http://laread.evmet.net/html/live-preview/assets/css/animate.css	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/css/animate.css	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:12	1717/1717	---MCZ	200	added ('OK')	text/css	etag:W/%2258087412-6b5%22	http://laread.evmet.net/html/live-preview/assets/css/tomorrow-night.css	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/css/tomorrow-night.css	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:12	5944/5944	---MCZ	200	added ('OK')	text/css	etag:W/%2258087401-1738%22	http://laread.evmet.net/html/live-preview/assets/css/bootstrap-gallery.css	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/css/bootstrap-gallery.css	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:13	3190/3190	---MCZ	200	added ('OK')	text/css	etag:W/%2258087407-c76%22	http://laread.evmet.net/html/live-preview/assets/css/colorbox.css	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/css/colorbox.css	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
